Category;Precision;Recall;F-Score;True Positives;False Positives;True Negatives;False Negatives;Evaluation Positives;Evaluation Negatives;Training Positives;Training Negatives
R: Risikotypen;0.5982;0.8733;0.71;131;88;32;19;150;120;459;1040
R: RT: Datenschutz, Privatsphäre, Überwachung;0.0;0.0;0;0;5;254;11;11;259;40;1459
R: RT: Haftung/Verantwortung;0.1818;0.1333;0.1538;2;9;246;13;15;255;18;1481
R: RT: Manipulation, Verzerrung, Unwahrh, Filterblas, Polarisieru, Zen;0;0.0;0;0;0;267;3;3;267;36;1463
R: RT: Souv-/Autonomie/Kontrollverlust,Fremdbest.,Überlegenh,Macht/Ein;0.2857;0.0392;0.069;2;5;214;49;51;219;78;1421
R: RT: Intransparenz (Blackbox);0;0.0;0;0;0;267;3;3;267;24;1475
R: RT: Kommodifizierung der Nutzer (Ausbeutung);0;0.0;0;0;0;267;3;3;267;9;1490
R: RT: Sozialität, Entfremdung vom Natürlichen, Lebenssinn, uncanny;0.5;0.1167;0.1892;7;7;203;53;60;210;39;1460
R: RT: Diskriminierung, Ungleichheit;0.0;0.0;0;0;3;253;14;14;256;23;1476
R: RT: mangelnde Qualität der Automatisierung, Algorithmen, Ki;0.2632;0.6863;0.3804;35;98;121;16;51;219;161;1338
R: RT: Missbrauch d KI, Algorith durch Staat, Unternehm,Interessengrup;0.0;0.0;0;0;2;255;13;13;257;27;1472
R: RT: ethisch, moralisch, philosophische Fragen der KI, Algorithmen;0.2258;0.1489;0.1795;7;24;199;40;47;223;80;1419
R: RT: Sicherheit (Safety), Unfälle, körperliche/psychische Sicherheit;0.0714;0.0435;0.0541;1;13;234;22;23;247;47;1452
R: RT: IT-/KI-Security (Sicherheit vor Hackern etc);0;0.0;0;0;0;269;1;1;269;15;1484
R: RT: Wirtschaftlichkeit und Effizienz;0.0;0.0;0;0;5;263;2;2;268;42;1457
R: RT: mangelnde Adaption/Literacy/Ausbildung/Bildung;0.1111;0.1111;0.1111;1;8;253;8;9;261;45;1454
R: RT: mangelnde Adpation v. Industrie, Wirtschaft, Volkswirtschaft;0.0;0.0;0;0;6;263;1;1;269;62;1437
R: RT: Arbeitsplatzverluste / Zukünftige Arbeit;0.1856;0.6207;0.2857;18;79;162;11;29;241;101;1398
