Article ID,GOLD: T: negativ,GOLD: T: ambivalent,GOLD: T: positiv,"GOLD: T: keine Tonalität ggü. KI, Algorithmen, Automatisierung",PRED: T: negativ,PRED: T: ambivalent,PRED: T: positiv,"PRED: T: keine Tonalität ggü. KI, Algorithmen, Automatisierung",AVG DIFF: T: negativ,AVG DIFF: T: ambivalent,AVG DIFF: T: positiv,"AVG DIFF: T: keine Tonalität ggü. KI, Algorithmen, Automatisierung",Average difference per article
Average,0.6683,0.2,0.0976,0.0293,0.7235,0.0072,0.1035,0.156,0.29,0.2037,0.125,0.1642,0.1957
STANDARD_20170523194005160300053,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OOEN_20180623014504177420057,1,0,0,0,0.0042,0.0006,0.9952,0.0,0.9958,0.0006,0.9952,0.0,0.4979
HOR_201709298002CF28C0,0,1,0,0,0.9856,0.0001,0.0,0.0143,0.9856,0.9999,0.0,0.0143,0.5
WZ_20170816031306156110056,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KURIER_201712061920340136,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WZ_20160520031309097640078,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SN_20180516013053016430080,1,0,0,0,0.9949,0.002,0.0,0.0031,0.0051,0.002,0.0,0.0031,0.0026
HOR_201604291219400028,0,0,1,0,0.999,0.0001,0.0,0.0009,0.999,0.0001,1.0,0.0009,0.5
SN_20180705013104300970047,0,1,0,0,0.9601,0.0037,0.0005,0.0357,0.9601,0.9963,0.0005,0.0357,0.4981
STANDARD_20140205194001180700014,0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HOR_201709222740CBF99B,0,0,0,1,0.0005,0.0002,0.0,0.9992,0.0005,0.0002,0.0,0.0008,0.0004
KONSUM_2018122075F5776A7B,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOR_20180518B60B469237,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STANDARD_20161021194006012290100,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STANDARD_20121217194003077710071,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STANDARD_20180407194503450510186,0,1,0,0,0.9997,0.0001,0.0,0.0002,0.9997,0.9999,0.0,0.0002,0.5
KLEINE_20180603041006090110503,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STANDARD_20181020194503555290113,0,1,0,0,0.0018,0.0084,0.0009,0.9888,0.0018,0.9916,0.0009,0.9888,0.4958
STANDARD_20160416194005259970135,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KLEINE_20171206041004267390382,0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
